Specification,N_months,β_TxDS,t_TxDS,β_DH,t_DH,LS_alpha_t
Baseline (T=12m RV),347,0.060,1.278,-0.003,-1.507,-4.435
T = 3m Realized Variance,347,0.054,1.320,-0.003,-1.507,-4.435
T = EWMA Variance (GARCH proxy),347,0.050,1.294,-0.003,-1.507,-4.435
ΔH = 20m rolling std,0,—,—,—,—,—
ΔS = Raw Return Vol,0,—,—,—,—,—
1990–1999,60,-0.180,-0.882,-0.011,-1.899,-3.419
2000–2009,120,0.157,3.680,0.000,0.038,-2.726
2010–2023,167,0.077,1.609,-0.003,-1.236,-3.123
Pre-GFC (<2008),155,0.033,0.366,-0.003,-0.925,-3.330
Post-GFC (>2009),179,0.071,1.571,-0.004,-1.667,-3.569
