spec,fm_coef_DG,fm_t_DG,fm_p_DG,ls_monthly_ret,ls_t,n_months,n_stocks,pass_h1_sign,pass_h1_t,category,note
Rolling 1995-01–1999-12,-0.006652035062060358,-2.0997588164345853,0.035750062740190325,-0.020041774938542565,-2.4603465650722467,60.0,287.0,PASS,MARGINAL,R02.1_rolling_windows,
Rolling 1995-07–2000-06,-0.007442423123963158,-1.831074079701179,0.06708948676179283,-0.019367923451662786,-1.8743875970525712,60.0,291.0,PASS,FAIL,R02.1_rolling_windows,
Rolling 1996-01–2000-12,-0.0077673050535467325,-1.8349678518541057,0.06651045294603564,-0.021713777010820622,-2.0210313330597534,60.0,302.0,PASS,FAIL,R02.1_rolling_windows,
Rolling 1996-07–2001-06,-0.007188199825428181,-1.6426672722898248,0.10045179370750978,-0.01889786598387807,-1.7063249315108384,60.0,305.0,PASS,FAIL,R02.1_rolling_windows,
Rolling 1997-01–2001-12,-0.007415844880955417,-1.68475472906541,0.09203590253735183,-0.01933604621242282,-1.728273081550682,60.0,307.0,PASS,FAIL,R02.1_rolling_windows,
Rolling 1997-07–2002-06,-0.005630382187193718,-1.1759762559332907,0.23960436443210043,-0.013907603081847249,-1.1481139061761632,60.0,313.0,PASS,FAIL,R02.1_rolling_windows,
Rolling 1998-01–2002-12,-0.006527655472296156,-1.3790347362703979,0.16788404421227598,-0.01648186242752526,-1.379814557547025,60.0,318.0,PASS,FAIL,R02.1_rolling_windows,
Rolling 1998-07–2003-06,-0.007968347851409917,-1.6819997703409977,0.09256888444769262,-0.019870414793893974,-1.6468295771178438,60.0,325.0,PASS,FAIL,R02.1_rolling_windows,
Rolling 1999-01–2003-12,-0.007153970094196083,-1.521225971056404,0.12820314021103352,-0.017586935520923528,-1.4870382862729565,60.0,329.0,PASS,FAIL,R02.1_rolling_windows,
Rolling 1999-07–2004-06,-0.005663677402314997,-1.2275180403459938,0.21962794552093334,-0.014190347964741393,-1.2179193148224443,60.0,334.0,PASS,FAIL,R02.1_rolling_windows,
Rolling 2000-01–2004-12,-0.0033439940525001243,-0.9944759069961625,0.31999122928090973,-0.008721960004704217,-0.9810187679593544,60.0,339.0,PASS,FAIL,R02.1_rolling_windows,
Rolling 2000-07–2005-06,-0.0026650707068448143,-0.9329613697763123,0.35083991412249826,-0.006808401363289086,-0.8980416811929386,60.0,344.0,PASS,FAIL,R02.1_rolling_windows,
Rolling 2001-01–2005-12,-0.003799768583809791,-1.4301813591550143,0.15266497409476765,-0.009902087080512125,-1.448646611934682,60.0,347.0,PASS,FAIL,R02.1_rolling_windows,
Rolling 2001-07–2006-06,-0.003680605940190931,-1.4007936876785072,0.16127577680143634,-0.009429424257418382,-1.3748175384015304,60.0,353.0,PASS,FAIL,R02.1_rolling_windows,
Rolling 2002-01–2006-12,-0.0038769129025803518,-1.5316654712846782,0.12560500716581968,-0.008972298782402405,-1.3413123297008378,60.0,359.0,PASS,FAIL,R02.1_rolling_windows,
Rolling 2002-07–2007-06,-0.006319306006222461,-3.2958288932598325,0.0009813176351145536,-0.015268991324847055,-2.853138093400372,60.0,360.0,PASS,PASS,R02.1_rolling_windows,
Rolling 2003-01–2007-12,-0.005137907909973165,-2.691661781998016,0.007109700590376633,-0.012173042864837348,-2.275313279621339,60.0,364.0,PASS,PASS,R02.1_rolling_windows,
Rolling 2003-07–2008-06,-0.0038113329824956423,-2.864405697029843,0.00417792535323902,-0.008339516176683067,-2.311984695126532,60.0,364.0,PASS,PASS,R02.1_rolling_windows,
Rolling 2004-01–2008-12,-0.002223564129895502,-1.2616791308882582,0.2070642692688418,-0.0025501100908992256,-0.47814931630328084,60.0,367.0,PASS,FAIL,R02.1_rolling_windows,
Rolling 2004-07–2009-06,-0.005339923305540399,-2.058770506098632,0.039516228334786296,-0.011130718059964276,-1.42962736512215,60.0,370.0,PASS,MARGINAL,R02.1_rolling_windows,
Rolling 2005-01–2009-12,-0.005951666594339233,-2.0479359273523072,0.04056627795186518,-0.012805200405770264,-1.5029304884670442,60.0,378.0,PASS,MARGINAL,R02.1_rolling_windows,
