spec,fm_coef_DG,fm_t_DG,fm_p_DG,pass_h1,category,coef_DG,t_DG,note,fm_coef,fm_t,fm_p,roc_auc,direction_correct
NW lags=3,-0.004658261473091343,-3.9793122407139645,6.91149194018692e-05,PASS,R03.1_NW_lags,,,,,,,,
NW lags=6,-0.004658261473091343,-3.9805727303986296,6.874942557932862e-05,PASS,R03.1_NW_lags,,,,,,,,
NW lags=9,-0.004658261473091343,-3.9461197080641877,7.942791431281293e-05,PASS,R03.1_NW_lags,,,,,,,,
NW lags=12,-0.004658261473091343,-3.9776079734238134,6.961201574884335e-05,PASS,R03.1_NW_lags,,,,,,,,
NW lags=18,-0.004658261473091343,-4.162702625691409,3.145028423956475e-05,PASS,R03.1_NW_lags,,,,,,,,
Winsorize 0.5%,-0.004662046005677637,-3.9809226617492675,6.864828363828401e-05,,R03.2_winsorization,,,,,,,,
Winsorize 1.0%,-0.00469141301109843,-3.9723323180022567,7.117233458520111e-05,,R03.2_winsorization,,,,,,,,
Winsorize 2.0%,-0.00505162974297581,-3.983094633615979,6.802365259805931e-05,,R03.2_winsorization,,,,,,,,
Winsorize 5.0%,-0.005568306084471722,-3.927899457120499,8.569101840283366e-05,,R03.2_winsorization,,,,,,,,
Pooled OLS (HC3),,,,,R03.3_pooled_OLS,-0.004650473609424482,-11.502118932682253,,,,,,
Pooled OLS + Stock FE,,,,,R03.3_pooled_OLS,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,,,,
OLS cluster-by-time,,,,,R03.3_pooled_OLS,-0.004650473609424482,-4.092128533215106,,,,,,
FM on percentile ranks,,,,,R03.4_rank_regression,,,,-0.014189409472851806,-3.7268942511725642,0.00019385374367764108,,
Logistic (predict top quintile),,,,,R03.5_logistic,-0.30519383918402304,,,,,,0.6025034845723761,True
WLS (1/vol weights),,,,,R03.6_GLS,-0.004488342112778272,-16.23920798198208,,,,,,
