spec,alpha,alpha_t,alpha_p,r2,pass,category,fm_coef_DG,fm_t_DG,fm_p_DG,n_stocks
CAPM,-0.013680723409954292,-4.143491151945031,3.420582742748948e-05,3.545044673491926e-05,PASS,R04.1_factor_alphas,,,,
FF3,-0.01389774918343505,-4.235856570035674,2.2768208335178908e-05,0.004093387228826906,PASS,R04.1_factor_alphas,,,,
FF5,-0.01504842975169942,-4.649484145861346,3.3276625985973945e-06,0.017505787333174094,PASS,R04.1_factor_alphas,,,,
FF5+UMD,-0.014908387951600792,-4.4352155018335315,9.198023001645453e-06,0.017884541004844712,PASS,R04.1_factor_alphas,,,,
Q4-factor,-0.015411181828731035,-4.476366585085434,7.5924075886575215e-06,0.016260591090140886,PASS,R04.1_factor_alphas,,,,
FM + market/SMB/HML betas,,,,,PASS,R04.2_factor_betas_ctrl,-0.003999992023349448,-5.156891778055093,2.5108282097896506e-07,
DG + reversal (t-1),,,,,,R04.3_mom_reversal,-0.004209739777703059,-3.717958399918217,0.00020083933217973637,
DG + momentum (12-2),,,,,,R04.3_mom_reversal,-0.004368338457466806,-3.825471736063336,0.0001305219094094312,
DG + reversal + momentum,,,,,,R04.3_mom_reversal,-0.003923474424791251,-3.563143706403217,0.0003664399423928266,
DG within size-Q1 (vol proxy),,,,,,R04.4_double_sort,-0.004546069946417585,-2.6802342773587973,,94.0
DG within size-Q2 (vol proxy),,,,,,R04.4_double_sort,-0.00365321985149347,-3.431738691233157,,108.0
DG within size-Q3 (vol proxy),,,,,,R04.4_double_sort,-0.004943151750649025,-4.60817561608958,,124.0
DG within size-Q4 (vol proxy),,,,,,R04.4_double_sort,-0.005374560487499374,-4.390419889755361,,115.0
DG within size-Q5 (vol proxy),,,,,,R04.4_double_sort,-0.005309230646319612,-3.3188243542853515,,110.0
FM + CAPM beta control,,,,,,R04.5_BAB,-0.004563867829537592,-4.610655890949853,4.014005004382426e-06,
