spec,vuong_z,vuong_p,delta_aic,delta_bic,delta_r2,constrained_preferred,significant,pass_h2,category,delta_aic_con_vs_uncon,delta_bic_con_vs_uncon,constrained_preferred_aic,constrained_preferred_bic,vuong_preferred
Full sample,-8.117073992463395,4.440892098500626e-16,-433.841230117745,-424.0893664955511,-0.003415155124449898,False,True,FAIL,R05.1_subperiod,,,,,
1995-2004,2.5391626199524078,0.011111816021551535,22.54715553076676,30.988684961856052,0.0005982781533521164,True,True,PASS,R05.1_subperiod,,,,,
2005-2014,-2.6818633022204015,0.00732133696195314,-93.79369747002784,-85.07146586453018,-0.0021019079182957867,False,True,FAIL,R05.1_subperiod,,,,,
2015-2023,-9.865711977818542,0.0,-784.8004734631977,-776.0344335652335,-0.016414471392550922,False,True,FAIL,R05.1_subperiod,,,,,
Pre-GFC,1.5320671815912108,0.12550585728690833,16.505678864908987,25.2622830302862,0.0003081073961729297,True,False,MARGINAL,R05.1_subperiod,,,,,
Post-GFC,-11.343563687630054,0.0,-732.2587293015677,-723.0541785322712,-0.009912603541609055,False,True,FAIL,R05.1_subperiod,,,,,
Constrained vs DH + DS (no T),2.7075970094130812,0.0067772260666856265,94.30051304961671,,,True,,,R05.2_alt_unconstrained,,,,,
Constrained vs DH + DS + T separate,-8.117073992463395,4.440892098500626e-16,-433.841230117745,,,False,,,R05.2_alt_unconstrained,,,,,
Constrained vs DH + T·DS + T as own,-8.812760769258528,0.0,-528.5363869842258,,,False,,,R05.2_alt_unconstrained,,,,,
Constrained vs ΔS only,3.2734377342416328,0.0010624779661663197,113.92944078939036,,,True,,,R05.2_alt_unconstrained,,,,,
Constrained vs ΔH only,2.971011277266033,0.002968208811249262,117.21349294553511,,,True,,,R05.2_alt_unconstrained,,,,,
Rolling 1995-01–1999-12,2.0945876851208367,0.036207660881379944,25.64988614665708,33.294214293673576,0.00152363475503281,True,True,PASS,R05.3_rolling,,,,,
Rolling 1996-01–2000-12,0.1928304116130836,0.8470917854229756,2.997176849250536,10.683502922151092,6.164084033877248e-05,True,False,MARGINAL,R05.3_rolling,,,,,
Rolling 1997-01–2001-12,-0.35225623854753785,0.724646104009077,0.9947960595673067,8.72618957546365,-5.9466259594520565e-05,False,False,FAIL,R05.3_rolling,,,,,
Rolling 1998-01–2002-12,-2.6039111009343943,0.009216665976801597,-18.602315196752897,-10.831901998441026,-0.00117277134521665,False,True,FAIL,R05.3_rolling,,,,,
Rolling 1999-01–2003-12,-3.2072196120454826,0.0013402463904057527,-37.60787985251591,-29.798702979453083,-0.0021661919843256605,False,True,FAIL,R05.3_rolling,,,,,
Rolling 2000-01–2004-12,-0.9351191157612391,0.34972691622149665,-4.880669048605341,2.961953228157654,-0.00036486661186518887,False,False,FAIL,R05.3_rolling,,,,,
Rolling 2001-01–2005-12,-0.17368467053608225,0.8621132855508522,0.7285689472118975,8.60334833561501,-6.52253067302544e-05,False,False,FAIL,R05.3_rolling,,,,,
Rolling 2002-01–2006-12,0.06495541144544101,0.948209501750888,2.671724777777854,10.576061969266448,3.343397113109159e-05,True,False,MARGINAL,R05.3_rolling,,,,,
Rolling 2003-01–2007-12,-6.54219280008461,6.062328417044682e-11,-209.14015993545763,-201.2072592223558,-0.010130427666147135,False,True,FAIL,R05.3_rolling,,,,,
Rolling 2004-01–2008-12,-7.906956038916131,2.6645352591003757e-15,-666.2028558350503,-658.2473452544509,-0.031200240679724822,False,True,FAIL,R05.3_rolling,,,,,
Rolling 2005-01–2009-12,-4.164402054322047,3.121695996499696e-05,-115.61055198693793,-107.63372104017617,-0.005422304215899287,False,True,FAIL,R05.3_rolling,,,,,
Rolling 2006-01–2010-12,-4.6624779696922625,3.124245403274273e-06,-145.0944878652008,-137.09637218357966,-0.006638901773214689,False,True,FAIL,R05.3_rolling,,,,,
Rolling 2007-01–2011-12,-6.149885169424198,7.753906405838507e-10,-230.04400751578942,-222.025451720423,-0.010248029378415846,False,True,FAIL,R05.3_rolling,,,,,
Rolling 2008-01–2012-12,-4.635789968226808,3.5557687585452413e-06,-152.57123420266726,-144.53242935318121,-0.006702306797921942,False,True,FAIL,R05.3_rolling,,,,,
Rolling 2009-01–2013-12,-5.683672791559178,1.3183239611080921e-08,-250.041757881394,-241.9815657700965,-0.010639175184215865,False,True,FAIL,R05.3_rolling,,,,,
Rolling 2010-01–2014-12,-4.6971827898531435,2.6377437938318593e-06,-65.9996460974071,-57.920903564285254,-0.002843824484708435,False,True,FAIL,R05.3_rolling,,,,,
Rolling 2011-01–2015-12,-3.099170071381572,0.0019406358604370233,-29.549940555429203,-21.45451120272628,-0.0013000301430939887,False,True,FAIL,R05.3_rolling,,,,,
Rolling 2012-01–2016-12,-1.5924214260658718,0.11129004511886009,-7.885171480702411,0.22634598534204997,-0.00040056116566322686,False,False,FAIL,R05.3_rolling,,,,,
Rolling 2013-01–2017-12,-0.561737937605802,0.5742945823627643,0.9540887876282795,9.081239756327705,-4.173201177570807e-05,False,False,FAIL,R05.3_rolling,,,,,
Rolling 2014-01–2018-12,-3.1597993827949136,0.0015787780655953654,-40.44909101963276,-32.30599618975248,-0.0016666447669589912,False,True,FAIL,R05.3_rolling,,,,,
Rolling 2015-01–2019-12,-4.3374587467449395,1.4413957710734948e-05,-109.02338434094418,-100.86262237837946,-0.004276240741247439,False,True,FAIL,R05.3_rolling,,,,,
Rolling 2016-01–2020-12,-6.818123306839446,9.2237328885858e-12,-528.7668401188566,-520.5889457210651,-0.019834644370135046,False,True,FAIL,R05.3_rolling,,,,,
Rolling 2017-01–2021-12,-7.460713265273963,8.615330671091215e-14,-771.9527583449963,-763.7601522522236,-0.028430510802382014,False,True,FAIL,R05.3_rolling,,,,,
Rolling 2018-01–2022-12,-8.745110384473032,0.0,-1007.226891070859,-999.021153081696,-0.036452655687138735,False,True,FAIL,R05.3_rolling,,,,,
Baseline T (market vol),-8.117073992463395,4.440892098500626e-16,-433.841230117745,-424.0893664955511,-0.003415155124449898,False,True,FAIL,R05.4_alt_T,,,,,
T = CS return dispersion,-5.336121891987085,9.495558028760342e-08,-171.65629438462202,-161.9044307624281,-0.0013628709423736396,False,True,FAIL,R05.4_alt_T,,,,,
T = 12m realized vol,-2.1628178544341052,0.030555191801382664,-61.01154245066573,-51.2734355123539,-0.0005015312494152102,False,True,FAIL,R05.4_alt_T,,,,,
Full AIC/BIC decomposition,-8.117073992463395,4.440892098500626e-16,,,-0.003415155124449898,,,,R05.5_AIC_BIC,-433.841230117745,-424.0893664955511,False,False,False
