spec,fm_coef_DG,fm_t_DG,fm_p_DG,n_months,category,ls_monthly_ret,ls_t,ls_annualized
Threshold median: High-T (disordered),-0.007212333122325999,-3.4437381187278975,0.0005737311297355774,174.0,R06.1_threshold_regimes,,,
Threshold median: Low-T (ordered),-0.002089426403918917,-2.2350312618478823,0.025415296447701907,173.0,R06.1_threshold_regimes,,,
Threshold Q3: High-T (disordered),-0.008718072220094554,-3.8919170797750837,9.945523860221961e-05,115.0,R06.1_threshold_regimes,,,
Threshold Q3: Low-T (ordered),-0.0026458552838440645,-2.1978277839658475,0.027961380704307537,232.0,R06.1_threshold_regimes,,,
Threshold Q1: High-T (disordered),-0.005330272088789261,-3.1641796906979964,0.0015552074408111682,232.0,R06.1_threshold_regimes,,,
Threshold Q1: Low-T (ordered),-0.0033025531005529355,-3.639872584742535,0.00027277298319772214,115.0,R06.1_threshold_regimes,,,
Markov High-T (disordered),-0.005602529090628578,-3.118732974165722,,213.0,R06.2_markov_regimes,,,
Markov Low-T (ordered),-0.003157298767603054,-3.682509107672158,,134.0,R06.2_markov_regimes,,,
DG + T,-0.004653913379738142,-3.976824245958118,,,R06.3_T_interaction,,,
DG + T + DG×T,-2319798619.919684,-1.7887379091215438,,,R06.3_T_interaction,,,
DG×T alone,0.000414853831291016,0.40810615390131955,,,R06.3_T_interaction,,,
T window=12m,-0.004703956191960057,-3.9657671349451795,7.316026269843512e-05,,R06.4_T_windows,,,
T window=24m,-0.004794932308615054,-3.992852405728555,6.528320637189111e-05,,R06.4_T_windows,,,
T window=36m,-0.004862729530608042,-3.985837612598526,6.7242490035202e-05,,R06.4_T_windows,,,
T window=60m,-0.005028494615892316,-3.979603123260717,6.903041177208635e-05,,R06.4_T_windows,,,
High-T (disordered),,,,174.0,R06.5_LS_by_regime,-0.01957770453006771,-3.5072230927944164,-0.21121590281957292
Low-T (ordered),,,,173.0,R06.5_LS_by_regime,-0.004194459138606562,-1.3921472551361669,-0.04918842223220621
