spec,fm_coef_DG,fm_t_DG,fm_coef_DS,fm_t_DS,fm_p_DG,category,fm_t_DH,R2,t
FM: DG + DS_z (AHXZ control),-0.0032594195848786355,-1.539370043882775,0.0017545120953739762,1.1276057465311997,,R07.1_AHXZ_ivol,,,
FM on DG residual (orthog to DS_z),-0.0032594195848786355,-1.5393700438827758,,,0.12371398292190605,R07.1_AHXZ_ivol,,,
DG + 12m vol,-0.001949061903983189,-1.7670877538916059,,,,R07.2_low_vol,,,
DG + ΔH (quality proxy),,-1.2776616066524895,,,,R07.3_quality,1.1776443164732004,,
DG + ΔH + ΔS,,-1.5632951203277383,,1.262563342915331,,R07.3_quality,-1.483105284114121,,
DH + DS (no DG),,,,1.374931085758643,,R07.3_quality,-1.507180243478803,,
DG + past_ret (growth proxy),-0.0043159848383225626,-3.666572259689044,,,,R07.4_growth_value,,,
OLS: ret ~ DG,,,,,,R07.6_R2_decomp,,0.0022985452064337997,-17.10438894959746
OLS: ret ~ DH_z,,,,,,R07.6_R2_decomp,,0.00228982312796433,-17.07183125567807
OLS: ret ~ DS_z,,,,,,R07.6_R2_decomp,,0.0023156242925529424,17.167964423798733
