spec,ls_net_monthly,ls_net_t,ls_net_annual,still_negative,category,fm_t_DG,fm_coef_DG,avg_long_turnover,avg_short_turnover,implied_tc_drag_10bps,ls_monthly_ret,ls_t,n_stocks
After 0 bps TC,-0.011908247893979007,-3.7019281397468853,-0.13390149389924522,True,R08.1_TC,,,,,,,,
After 10 bps TC,-0.013908247893979011,-4.3236700068470215,-0.15470574883842436,True,R08.1_TC,,,,,,,,
After 20 bps TC,-0.015908247893979013,-4.945411873947158,-0.17505099542955982,True,R08.1_TC,,,,,,,,
After 30 bps TC,-0.01790824789397901,-5.567153741047294,-0.19494645875337668,True,R08.1_TC,,,,,,,,
After 50 bps TC,-0.02190824789397901,-6.8106374752475665,-0.23342410261799562,True,R08.1_TC,,,,,,,,
Baseline (t+1),,,,,R08.2_skip_month,-3.9805727303986296,-0.004658261473091343,,,,,,
Skip-month (t+2),,,,,R08.2_skip_month,-3.734910195082418,-0.004478332045830664,,,,,,
1m,,,,,R08.3_holding_period,-3.920751710313692,-0.004604903571550411,,,,,,
3m,,,,,R08.3_holding_period,-3.873888814865825,-0.013674623111880476,,,,,,
6m,,,,,R08.3_holding_period,-4.076536270469798,-0.027406515650086723,,,,,,
12m,,,,,R08.3_holding_period,-4.369741702553513,-0.05743491884931506,,,,,,
Monthly portfolio turnover,,,,,R08.4_turnover,,,0.03603716841885803,0.027114820249462254,6.315198866832029e-05,,,
Full sample,,,,,R08.5_liquid_stocks,-3.9805727303986296,,,,,-0.011908247893979007,-3.7019281397468853,462.0
Liquid stocks (low vol 50%),,,,,R08.5_liquid_stocks,-4.261853641559387,,,,,-0.005914953861501654,-4.16275354968927,231.0
