panel,category,test,spec,fm_coef_DG,fm_t_DG,ls_monthly_ret,ls_t,vuong_z,vuong_p,delta_aic,pass_fail_h1,pass_fail_h2,notes
Panel A: Variable Construction Sensitivity,R01,R01.1,DH-24m,-0.0049,-3.9919,-0.0115,-3.4345,,,,PASS,,
Panel A: Variable Construction Sensitivity,R01,R01.1,DH-36m,-0.0048,-3.732,-0.0117,-3.2991,,,,PASS,,
Panel A: Variable Construction Sensitivity,R01,R01.1,DH-48m,-0.0042,-3.3924,-0.0105,-3.0773,,,,PASS,,
Panel A: Variable Construction Sensitivity,R01,R01.1,DH-60m,-0.0035,-2.985,-0.0091,-2.8499,,,,PASS,,baseline
Panel A: Variable Construction Sensitivity,R01,R01.1,DH-72m,-0.0034,-3.0806,-0.0092,-2.9157,,,,PASS,,
Panel A: Variable Construction Sensitivity,R01,R01.2,DS-24m,-0.0043,-3.627,-0.0108,-3.2604,,,,PASS,,
Panel A: Variable Construction Sensitivity,R01,R01.2,DS-36m,-0.0044,-3.5178,-0.0112,-3.2189,,,,PASS,,baseline
Panel A: Variable Construction Sensitivity,R01,R01.2,DS-48m,-0.0041,-3.3762,-0.0101,-3.0416,,,,PASS,,
Panel A: Variable Construction Sensitivity,R01,R01.2,DS-60m,-0.0034,-2.999,-0.0089,-2.8281,,,,PASS,,
Panel A: Variable Construction Sensitivity,R01,R01.3,T-1m,-0.0047,-3.9856,-0.012,-3.7288,1.519,0.1288,58.7152,PASS,PASS,
Panel A: Variable Construction Sensitivity,R01,R01.3,T-3m,-0.0047,-3.9811,-0.0119,-3.6986,2.2531,0.0243,62.7439,PASS,PASS,
Panel A: Variable Construction Sensitivity,R01,R01.3,T-6m,-0.0047,-3.9853,-0.0119,-3.7138,2.5515,0.0107,93.6344,PASS,PASS,
Panel A: Variable Construction Sensitivity,R01,R01.3,T-12m,-0.0047,-3.9838,-0.012,-3.7189,2.6824,0.0073,97.0304,PASS,PASS,baseline
Panel A: Variable Construction Sensitivity,R01,R01.3,T-24m,-0.0047,-3.9848,-0.012,-3.7138,2.2155,0.0267,46.9802,PASS,PASS,
Panel A: Variable Construction Sensitivity,R01,R01.4,T-EWMA,,,,,1.7009,0.089,61.5015,,PASS,
Panel A: Variable Construction Sensitivity,R01,R01.4,T-12m,,,,,2.6819,0.0073,97.0748,,PASS,
Panel A: Variable Construction Sensitivity,R01,R01.5,DS-CAPM,-0.0044,-3.5105,-0.0111,-3.1984,2.6982,0.007,100.2773,PASS,PASS,
Panel A: Variable Construction Sensitivity,R01,R01.5,DS-FF3,-0.0044,-3.5178,-0.0112,-3.2189,2.5199,0.0117,90.3585,PASS,PASS,baseline
Panel A: Variable Construction Sensitivity,R01,R01.5,DS-FF4,-0.0044,-3.5176,-0.0112,-3.2436,2.5834,0.0098,90.3786,PASS,PASS,
Panel A: Variable Construction Sensitivity,R01,R01.5,DS-FF5,-0.0044,-3.5207,-0.0112,-3.2275,2.5515,0.0107,92.0777,PASS,PASS,
Panel A: Variable Construction Sensitivity,R01,R01.6,DH-downside,-0.0041,-3.4743,-0.0103,-3.067,,,,PASS,,semi-deviation
Panel A: Variable Construction Sensitivity,R01,R01.6,DH-FF3res,-0.0046,-4.1487,-0.0109,-3.5803,,,,PASS,,expect collapse: DH==-DS
Panel A: Variable Construction Sensitivity,R01,R01.6,DH-total (baseline),-0.0047,-3.9806,-0.0119,-3.7019,,,,PASS,,baseline
Panel A: Variable Construction Sensitivity,R01,R01.7,wins-0pct,-0.0031,-2.8646,-0.0091,-2.8723,,,,PASS,,DH-wins-only
Panel A: Variable Construction Sensitivity,R01,R01.7,wins-0pct,-0.0035,-3.0139,-0.0091,-2.8552,,,,PASS,,DH-wins-only
Panel A: Variable Construction Sensitivity,R01,R01.7,wins-1pct,-0.0035,-2.985,-0.0091,-2.8499,,,,PASS,,baseline
Panel A: Variable Construction Sensitivity,R01,R01.7,wins-2pct,-0.0034,-2.9008,-0.009,-2.843,,,,PASS,,DH-wins-only
Panel A: Variable Construction Sensitivity,R01,R01.7,wins-5pct,-0.0033,-2.7963,-0.0091,-2.847,,,,PASS,,DH-wins-only
Panel A: Variable Construction Sensitivity,R01,R01.8,zscore,-0.0047,-3.9806,-0.0119,-3.7019,,,,PASS,,baseline
Panel A: Variable Construction Sensitivity,R01,R01.8,rank,-0.0041,-3.7312,-0.012,-3.7293,,,,PASS,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 1995-01–1999-12,-0.0067,-2.0998,-0.02,-2.4603,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 1995-07–2000-06,-0.0074,-1.8311,-0.0194,-1.8744,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 1996-01–2000-12,-0.0078,-1.835,-0.0217,-2.021,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 1996-07–2001-06,-0.0072,-1.6427,-0.0189,-1.7063,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 1997-01–2001-12,-0.0074,-1.6848,-0.0193,-1.7283,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 1997-07–2002-06,-0.0056,-1.176,-0.0139,-1.1481,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 1998-01–2002-12,-0.0065,-1.379,-0.0165,-1.3798,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 1998-07–2003-06,-0.008,-1.682,-0.0199,-1.6468,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 1999-01–2003-12,-0.0072,-1.5212,-0.0176,-1.487,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 1999-07–2004-06,-0.0057,-1.2275,-0.0142,-1.2179,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2000-01–2004-12,-0.0033,-0.9945,-0.0087,-0.981,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2000-07–2005-06,-0.0027,-0.933,-0.0068,-0.898,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2001-01–2005-12,-0.0038,-1.4302,-0.0099,-1.4486,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2001-07–2006-06,-0.0037,-1.4008,-0.0094,-1.3748,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2002-01–2006-12,-0.0039,-1.5317,-0.009,-1.3413,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2002-07–2007-06,-0.0063,-3.2958,-0.0153,-2.8531,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2003-01–2007-12,-0.0051,-2.6917,-0.0122,-2.2753,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2003-07–2008-06,-0.0038,-2.8644,-0.0083,-2.312,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2004-01–2008-12,-0.0022,-1.2617,-0.0026,-0.4781,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2004-07–2009-06,-0.0053,-2.0588,-0.0111,-1.4296,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2005-01–2009-12,-0.006,-2.0479,-0.0128,-1.5029,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2005-07–2010-06,-0.0057,-1.958,-0.0124,-1.4466,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2006-01–2010-12,-0.0056,-1.8961,-0.0134,-1.5289,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2006-07–2011-06,-0.0055,-1.8542,-0.0137,-1.5927,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2007-01–2011-12,-0.0049,-1.4981,-0.0125,-1.3265,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2007-07–2012-06,-0.0037,-1.112,-0.0092,-0.9634,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2008-01–2012-12,-0.0048,-1.4956,-0.0127,-1.3462,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2008-07–2013-06,-0.0049,-1.5751,-0.0129,-1.4172,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2009-01–2013-12,-0.0066,-2.2173,-0.0189,-2.2987,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2009-07–2014-06,-0.004,-2.1714,-0.0118,-2.1804,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2010-01–2014-12,-0.0026,-1.5308,-0.0084,-1.6091,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2010-07–2015-06,-0.0026,-1.5509,-0.0082,-1.6072,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2011-01–2015-12,-0.0008,-0.3908,-0.0023,-0.3951,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2011-07–2016-06,-0.0018,-1.1112,-0.0046,-0.9286,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2012-01–2016-12,-0.0026,-1.6467,-0.0066,-1.4243,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2012-07–2017-06,-0.0031,-2.0431,-0.0078,-1.7708,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2013-01–2017-12,-0.0027,-1.8546,-0.0065,-1.5418,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2013-07–2018-06,-0.0029,-1.9042,-0.0066,-1.5851,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2014-01–2018-12,-0.0023,-1.5311,-0.0038,-0.9165,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2014-07–2019-06,-0.0023,-1.5122,-0.0033,-0.7983,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2015-01–2019-12,-0.0029,-1.7987,-0.0045,-0.9954,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2015-07–2020-06,-0.0038,-2.0713,-0.0062,-1.2716,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2016-01–2020-12,-0.0067,-3.4852,-0.0144,-2.6195,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2016-07–2021-06,-0.0063,-2.9908,-0.0142,-2.3308,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2017-01–2021-12,-0.0059,-2.8183,-0.0123,-1.979,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2017-07–2022-06,-0.0059,-2.7013,-0.0116,-1.7647,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2018-01–2022-12,-0.0061,-2.7585,-0.0129,-1.8782,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Rolling 2018-07–2023-06,-0.0063,-2.8405,-0.0144,-2.0865,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,1995-1999,-0.0067,-2.0998,-0.02,-2.4603,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,2000-2004,-0.0033,-0.9945,-0.0087,-0.981,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,2005-2009,-0.006,-2.0479,-0.0128,-1.5029,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,2010-2014,-0.0026,-1.5308,-0.0084,-1.6091,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,2015-2019,-0.0029,-1.7987,-0.0045,-0.9954,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,2020-2023,-0.007,-2.8047,-0.0184,-2.4305,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Baseline (no exclusion),-0.0047,-3.9806,-0.0119,-3.7019,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Exclude dot-com,-0.0054,-4.3459,-0.014,-4.0664,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Exclude GFC,-0.0045,-4.0143,-0.0117,-3.8335,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Exclude COVID,-0.0045,-3.8151,-0.0116,-3.5622,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Exclude all crises,-0.0052,-4.2367,-0.0136,-4.0985,,,,,,
Panel B: Sample and Time Period Sensitivity,R02,,Baseline (all months),-0.0047,-3.9806,-0.0119,-3.7019,,,,,,
